col_x,col_y,cor
Sepal.Length,Sepal.Length,NA
Sepal.Width,Sepal.Length,-0.11756978413300206
Petal.Length,Sepal.Length,0.8717537758865832
Petal.Width,Sepal.Length,0.8179411262715758
Species_setosa,Sepal.Length,-0.7174156686860962
Species_versicolor,Sepal.Length,0.07939552384344534
Species_virginica,Sepal.Length,0.6380201448426509
Sepal.Length,Sepal.Width,NA
Sepal.Width,Sepal.Width,NA
Petal.Length,Sepal.Width,-0.4284401043305397
Petal.Width,Sepal.Width,-0.3661259325364391
Species_setosa,Sepal.Width,0.603347827349061
Species_versicolor,Sepal.Width,-0.46770308199180805
Species_virginica,Sepal.Width,-0.1356447453572529
Sepal.Length,Petal.Length,NA
Sepal.Width,Petal.Length,NA
Petal.Length,Petal.Length,NA
Petal.Width,Petal.Length,0.962865431402796
Species_setosa,Petal.Length,-0.9227653847036499
Species_versicolor,Petal.Length,0.2017544525789339
Species_virginica,Petal.Length,0.7210109321247159
Sepal.Length,Petal.Width,NA
Sepal.Width,Petal.Width,NA
Petal.Length,Petal.Width,NA
Petal.Width,Petal.Width,NA
Species_setosa,Petal.Width,-0.8873436966114585
Species_versicolor,Petal.Width,0.11789881283648751
Species_virginica,Petal.Width,0.769444883774971
Sepal.Length,Species_setosa,NA
Sepal.Width,Species_setosa,NA
Petal.Length,Species_setosa,NA
Petal.Width,Species_setosa,NA
Species_setosa,Species_setosa,NA
Species_versicolor,Species_setosa,-0.5000000000000001
Species_virginica,Species_setosa,-0.5000000000000001
Sepal.Length,Species_versicolor,NA
Sepal.Width,Species_versicolor,NA
Petal.Length,Species_versicolor,NA
Petal.Width,Species_versicolor,NA
Species_setosa,Species_versicolor,NA
Species_versicolor,Species_versicolor,NA
Species_virginica,Species_versicolor,-0.5000000000000001
Sepal.Length,Species_virginica,NA
Sepal.Width,Species_virginica,NA
Petal.Length,Species_virginica,NA
Petal.Width,Species_virginica,NA
Species_setosa,Species_virginica,NA
Species_versicolor,Species_virginica,NA
Species_virginica,Species_virginica,NA
